id,course_id,assignment_grade,exam_grade
S1,CS101,3.80,3.78
S1,CS104,3.96,3.94
S1,CS103,3.22,3.20
S1,CS106,2.88,2.86
S2,CS101,3.34,3.32
S2,CS102,3.90,3.88
S2,CS109,3.98,3.96
S2,CS108,3.57,3.55
S3,CS107,3.85,3.83
S3,CS106,3.49,3.47
S3,CS105,2.68,2.66
S3,CS103,3.77,3.75
S4,CS101,2.55,2.53
S4,CS103,3.48,3.46
S4,CS110,2.90,2.88
S4,CS109,3.23,3.21
S5,CS102,3.66,3.64
S5,CS105,2.89,2.87
S5,CS104,3.15,3.13
S5,CS108,2.99,2.97
S6,CS107,3.68,3.66
S6,CS101,3.49,3.47
S6,CS109,3.93,3.91
S6,CS105,3.85,3.83
S7,CS108,3.62,3.60
S7,CS103,3.43,3.41
S7,CS106,2.99,2.97
S7,CS101,3.78,3.76
S8,CS104,3.46,3.44
S8,CS105,3.52,3.50
S8,CS102,3.88,3.86
S8,CS108,3.93,3.91
S9,CS109,3.95,3.93
S9,CS106,3.50,3.48
S9,CS103,3.86,3.84
S9,CS101,3.77,3.75
S10,CS102,3.79,3.77
S10,CS108,3.92,3.90
S10,CS107,3.66,3.64
S10,CS104,3.89,3.87
