student_id,course_id,date,status
S1,CS101,2025-01-13,Present
S1,CS104,2025-01-14,Absent
S1,CS103,2025-01-17,Present
S1,CS106,2025-01-20,Present
S2,CS101,2025-01-13,Present
S2,CS102,2025-01-15,Present
S2,CS109,2025-01-21,Absent
S2,CS108,2025-01-17,Present
S3,CS107,2025-01-15,Present
S3,CS106,2025-01-20,Absent
S3,CS105,2025-01-16,Present
S3,CS103,2025-01-17,Absent
S4,CS101,2025-01-13,Present
S4,CS103,2025-01-17,Present
S4,CS110,2025-01-23,Absent
S4,CS109,2025-01-21,Present
S5,CS102,2025-01-15,Present
S5,CS105,2025-01-16,Absent
S5,CS104,2025-01-14,Present
S5,CS108,2025-01-17,Present
S6,CS107,2025-01-15,Present
S6,CS101,2025-01-13,Absent
S6,CS109,2025-01-21,Present
S6,CS105,2025-01-16,Present
S7,CS108,2025-01-17,Absent
S7,CS103,2025-01-17,Present
S7,CS106,2025-01-20,Present
S7,CS101,2025-01-13,Present
S8,CS104,2025-01-14,Present
S8,CS105,2025-01-16,Absent
S8,CS102,2025-01-15,Present
S8,CS108,2025-01-17,Present
S9,CS109,2025-01-21,Present
S9,CS106,2025-01-20,Absent
S9,CS103,2025-01-17,Present
S9,CS101,2025-01-13,Present
S10,CS102,2025-01-15,Present
S10,CS108,2025-01-17,Absent
S10,CS107,2025-01-15,Present
S10,CS104,2025-01-14,Present
