attendance_id,class_id,student_id,date,status
ATT001,C1,S001,2025-01-15,Present
ATT002,C2,S002,2025-01-15,Absent
ATT003,C3,S003,2025-01-16,Present
ATT004,C4,S004,2025-01-16,Present
ATT005,C5,S005,2025-01-17,Absent
ATT006,C6,S006,2025-01-17,Present
ATT007,C7,S007,2025-01-18,Present
ATT008,C8,S008,2025-01-18,Absent
ATT009,C9,S001,2025-01-19,Present
ATT010,C10,S002,2025-01-19,Present
ATT011,C1,S003,2025-01-20,Absent
ATT012,C2,S004,2025-01-20,Present
ATT013,C3,S005,2025-01-21,Present
ATT014,C4,S006,2025-01-21,Absent
ATT015,C5,S007,2025-01-22,Present
ATT016,C6,S008,2025-01-22,Present
ATT017,C7,S001,2025-01-23,Absent
ATT018,C8,S002,2025-01-23,Present
ATT019,C9,S003,2025-01-24,Present
ATT020,C10,S004,2025-01-24,Present
ATT021,C1,S005,2025-01-25,Absent
ATT022,C2,S006,2025-01-25,Present
ATT023,C3,S007,2025-01-26,Present
ATT024,C4,S008,2025-01-26,Absent
ATT025,C5,S001,2025-01-27,Present
ATT026,C6,S002,2025-01-27,Present
ATT027,C7,S003,2025-01-28,Absent
ATT028,C8,S004,2025-01-28,Present
ATT029,C9,S005,2025-01-29,Present
ATT030,C10,S006,2025-01-29,Present
