course_enrollment_id,class_id,student_id,assessment_id,course_enroll_status
CE001,CLS001,S001,ASM001,Enrolled
CE002,CLS002,S002,ASM002,Completed
CE003,CLS003,S003,ASM003,Enrolled
CE004,CLS004,S004,ASM004,Dropped
CE005,CLS005,S005,ASM005,Enrolled
CE006,CLS006,S006,ASM006,Completed
CE007,CLS007,S007,ASM007,Enrolled
CE008,CLS008,S008,ASM008,Completed
CE009,CLS009,S001,ASM009,Enrolled
CE010,CLS010,S002,ASM010,Completed
CE011,CLS001,S003,ASM011,Enrolled
CE012,CLS002,S004,ASM012,Completed
CE013,CLS003,S005,ASM013,Enrolled
CE014,CLS004,S006,ASM014,Completed
CE015,CLS005,S007,ASM015,Enrolled
CE016,CLS006,S008,ASM016,Completed
CE017,CLS007,S001,ASM017,Enrolled
CE018,CLS008,S002,ASM018,Completed
CE019,CLS009,S003,ASM019,Enrolled
CE020,CLS010,S004,ASM020,Completed
