course_id,course_name,description
CS101,Introduction to Programming,Learn Python basics
CS102,Data Science Basics,Intro to statistics and analysis
CS103,Web Development,HTML/CSS/JavaScript basics
CS104,Database Systems,Learn SQL and database design
CS105,AI Fundamentals,Intro to machine learning concepts
CS106,Operating Systems,Understand OS fundamentals
CS107,Network Security,Learn about cybersecurity principles
CS108,Mobile App Development,Build apps for Android and iOS
CS109,Cloud Computing,Explore cloud architecture and tools
CS110,Software Engineering,Learn software design principles
