examtimetable_id,class_id,course_id,exam_date,start_time,end_time,location,max_students
EXM001,CLS001,C001,2025-06-10,09:00,11:00,Room 101,30
EXM002,CLS002,C002,2025-06-11,10:00,12:00,Room 102,40
EXM003,CLS003,C003,2025-06-12,08:00,10:00,Room 103,35
EXM004,CLS004,C004,2025-06-13,13:00,15:00,Room 104,50
EXM005,CLS005,C005,2025-06-14,14:00,16:00,Room 105,25
EXM006,CLS006,C006,2025-06-15,11:00,13:00,Room 106,45
EXM007,CLS007,C007,2025-06-16,14:00,16:00,Room 107,30
EXM008,CLS008,C008,2025-06-17,08:00,10:00,Room 108,40
EXM009,CLS009,C009,2025-06-18,10:00,12:00,Room 109,35
EXM010,CLS010,C010,2025-06-19,09:00,11:00,Room 110,50
EXM011,CLS001,C001,2025-06-20,11:00,13:00,Room 101,30
EXM012,CLS002,C002,2025-06-21,10:00,12:00,Room 102,40
EXM013,CLS003,C003,2025-06-22,09:00,11:00,Room 103,35
EXM014,CLS004,C004,2025-06-23,13:00,15:00,Room 104,50
EXM015,CLS005,C005,2025-06-24,14:00,16:00,Room 105,25
EXM016,CLS006,C006,2025-06-25,11:00,13:00,Room 106,45
EXM017,CLS007,C007,2025-06-26,14:00,16:00,Room 107,30
EXM018,CLS008,C008,2025-06-27,08:00,10:00,Room 108,40
EXM019,CLS009,C009,2025-06-28,10:00,12:00,Room 109,35
EXM020,CLS010,C010,2025-06-29,09:00,11:00,Room 110,50

